;word;frequency_week_1;percent_week_1;frequency_week_2;percent_week_2;frequency_week_3;percent_week_3;frequency_week_4;percent_week_4;frequency_week_5;percent_week_5;frequency_week_6;percent_week_6;frequency_week_7;percent_week_7;frequency_week_8;percent_week_8;frequency_week_9;percent_week_9;frequency_week_10;percent_week_10;frequency_week_11;percent_week_11;frequency_week_12;percent_week_12;frequency_week_13;percent_week_13;frequency_week_14;percent_week_14;frequency_week_15;percent_week_15;frequency_week_16;percent_week_16;frequency_week_17;percent_week_17;frequency_week_18;percent_week_18;frequency_week_19;percent_week_19;frequency_week_20;percent_week_20;frequency_week_21;percent_week_21;frequency_week_22;percent_week_22;frequency_week_23;percent_week_23;frequency_week_24;percent_week_24;frequency_week_25;percent_week_25;frequency_week_26;percent_week_26
0;win;54.0;0.26080656846172423;63.0;0.2882239912160307;75.0;0.3498134328358209;40.0;0.35505059470974615;54.0;0.2422067728190177;53.0;0.2057133985405993;90.0;0.3082191780821918;69.0;0.2874161702836673;102.0;0.4832291074474133;326.0;0.9446537235583888;234.0;0.8755846585594014;156.0;0.46990782577263684;271.0;0.7560540118290369;258.0;0.6588691965881812;188.0;0.4357298474945534;99.0;0.20667626980647585;65.0;0.1658586374075019;44.0;0.1490212016527806;115.0;0.3904393291233788;68.0;0.27629921579781397;56.0;0.2289264982421715;56.0;0.18896574995782014;26.0;0.13481980814104225;62.0;0.29824898980180875;29.0;0.16525158128668302;51.0;0.12755740083037367
1;power;54.0;0.26080656846172423;49.0;0.22417421539024612;46.0;0.21455223880597016;36.0;0.3195455352387715;56.0;0.25117739403453687;47.0;0.18242508927185222;38.0;0.13013698630136986;50.0;0.20827258716207775;49.0;0.23213947318552206;82.0;0.23761228629382786;39.0;0.1459307764265669;73.0;0.219892764624375;56.0;0.15623256332998547;72.0;0.18387047346646918;51.0;0.1182033096926714;47.0;0.09811903718085217;63.0;0.16075529471804031;71.0;0.24046602993971414;91.0;0.30895633869763023;56.0;0.22754053065702326;91.0;0.3720055596435287;86.0;0.2901974017209381;29.0;0.15037593984962408;60.0;0.28862805464691166;21.0;0.11966493817311527;69.0;0.17257765994697613
2;hope;21.0;0.10142477662400387;38.0;0.17384939152712964;27.0;0.1259328358208955;17.0;0.15089650275164213;25.0;0.1121327651939897;31.0;0.12032293122185996;33.0;0.113013698630137;27.0;0.11246719706752198;16.0;0.07580064430547659;19.0;0.05505650536076499;19.0;0.07109448082319926;21.0;0.06325682270016265;27.0;0.07532641446267158;43.0;0.10981153276469688;24.0;0.0556250869141983;33.0;0.06889208993549195;20.0;0.05103342689461597;20.0;0.067736909842173;50.0;0.16975623005364296;13.0;0.052821908902523265;7.0;0.02861581228027144;11.0;0.03711827231314324;11.0;0.05703914959813327;7.0;0.03367327304213969;13.0;0.07407829505954755;18.0;0.04502025911660247
3;justice;20.0;0.09659502535619416;15.0;0.06862475981334065;36.0;0.16791044776119401;7.0;0.062133854074205574;16.0;0.07176496972415339;33.0;0.12808570097810898;22.0;0.07534246575342465;39.0;0.16245261798642063;16.0;0.07580064430547659;31.0;0.08982903506230078;32.0;0.11973807296538821;25.0;0.07530574130971746;31.0;0.08648588327195625;40.0;0.10215026303692731;29.0;0.06721364668798961;31.0;0.06471681175758334;13.0;0.033171727481500386;8.0;0.0270947639368692;34.0;0.11543423643647721;15.0;0.06094835642598838;23.0;0.09402338320660616;14.0;0.047241437489455036;26.0;0.13481980814104225;28.0;0.13469309216855876;12.0;0.06837996467035158;133.0;0.3326496923615627
4;change;17.0;0.08210577155276504;36.0;0.16469942355201758;29.0;0.13526119402985076;15.0;0.1331439730161548;17.0;0.07625028033191299;23.0;0.08927185219686384;28.0;0.0958904109589041;28.0;0.11663264881076353;35.0;0.16581390941823004;53.0;0.15357867284844973;28.0;0.10477081384471468;47.0;0.1415747936622688;93.0;0.2594576498158688;58.0;0.14811788140354462;45.0;0.10429703796412182;56.0;0.11690778898144089;34.0;0.08675682572084716;21.0;0.07112375533428165;51.0;0.17315135465471582;18.0;0.07313802771118606;28.0;0.11446324912108576;17.0;0.05736460266576683;22.0;0.11407829919626654;23.0;0.11064075428131614;18.0;0.10256994700552736;31.0;0.07753489070081536
5;provide;11.0;0.05312726394590679;7.0;0.032024887912892305;7.0;0.03264925373134329;7.0;0.062133854074205574;9.0;0.040367795469836286;12.0;0.04657661853749418;24.0;0.08219178082191782;13.0;0.054150872662140206;18.0;0.08527572484366117;14.0;0.04056795131845842;9.0;0.03367633302151543;21.0;0.06325682270016265;36.0;0.1004352192835621;20.0;0.05107513151846366;65.0;0.15065127705928708;91.0;0.18997515709484145;50.0;0.12758356723653994;41.0;0.13886066517645465;25.0;0.08487811502682148;31.0;0.12595993661370933;45.0;0.18395879323031641;31.0;0.10460604015522187;24.0;0.1244490536686544;19.0;0.09139888397152203;10.0;0.05698330389195966;26.0;0.06502926316842579
6;imagine;7.0;0.03380825887466795;6.0;0.02744990392533626;16.0;0.0746268656716418;15.0;0.1331439730161548;28.0;0.12558869701726844;4.0;0.01552553951249806;12.0;0.04109589041095891;10.0;0.04165451743241555;6.0;0.02842524161455372;20.0;0.057954216169226316;15.0;0.05612722170252573;23.0;0.06928128200494006;17.0;0.04742774243945988;17.0;0.04341386179069411;18.0;0.041718815185648725;23.0;0.048015699045948934;13.0;0.033171727481500386;13.0;0.04402899139741245;17.0;0.057717118218238606;14.0;0.056885132664255815;9.0;0.03679175864606328;5.0;0.016871941960519655;12.0;0.0622245268343272;8.0;0.03848374061958822;3.0;0.017094991167587895;12.0;0.030013506077734984
7;survive;4.0;0.01931900507123883;9.0;0.041174855888004395;3.0;0.013992537313432836;6.0;0.05325758920646192;5.0;0.02242655303879794;6.0;0.02328830926874709;3.0;0.010273972602739727;0.0;0.0;2.0;0.009475080538184574;0.0;0.0;0.0;0.0;2.0;0.006024459304777396;2.0;0.005579734404642339;3.0;0.0076612697277695496;6.0;0.013906271728549574;12.0;0.025051669067451616;19.0;0.048481755549885173;10.0;0.0338684549210865;4.0;0.013580498404291437;7.0;0.028442566332127907;4.0;0.01635189273158368;2.0;0.006748776784207863;4.0;0.020741508944775732;2.0;0.009620935154897056;4.0;0.022793321556783864;3.0;0.007503376519433746
8;possible;4.0;0.01931900507123883;9.0;0.041174855888004395;13.0;0.06063432835820895;2.0;0.017752529735487306;9.0;0.040367795469836286;10.0;0.03881384878124514;8.0;0.0273972602739726;9.0;0.03748906568917399;6.0;0.02842524161455372;16.0;0.04636337293538105;17.0;0.06361085126286249;18.0;0.054220133742996564;20.0;0.05579734404642339;17.0;0.04341386179069411;40.0;0.0927084781903305;34.0;0.07097972902444626;21.0;0.05358509823934677;10.0;0.0338684549210865;19.0;0.06450736742038432;8.0;0.032505790093860475;8.0;0.03270378546316736;12.0;0.04049266070524717;3.0;0.0155561317085818;11.0;0.05291514335193381;2.0;0.011396660778391932;15.0;0.037516882597168726
9;safety;2.0;0.009659502535619416;12.0;0.05489980785067252;5.0;0.023320895522388058;2.0;0.017752529735487306;21.0;0.09419152276295133;3.0;0.011644154634373545;5.0;0.017123287671232876;8.0;0.03332361394593243;6.0;0.02842524161455372;7.0;0.02028397565922921;1.0;0.0037418147801683817;1.0;0.003012229652388698;8.0;0.022318937618569356;5.0;0.012768782879615914;18.0;0.041718815185648725;65.0;0.1356965407820296;34.0;0.08675682572084716;46.0;0.1557948926369979;21.0;0.07129761662253005;14.0;0.056885132664255815;22.0;0.08993541002371025;18.0;0.06073899105787076;20.0;0.10370754472387865;24.0;0.11545122185876468;14.0;0.07977662544874352;27.0;0.06753038867490371
10;hold_accountable;1.0;0.004829751267809708;2.0;0.009149967975112087;0.0;0.0;0.0;0.0;2.0;0.008970621215519173;0.0;0.0;3.0;0.010273972602739727;1.0;0.004165451743241554;0.0;0.0;2.0;0.005795421616922631;0.0;0.0;1.0;0.003012229652388698;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0051033426894615975;1.0;0.00338684549210865;1.0;0.0033951246010728593;0.0;0.0;2.0;0.00817594636579184;2.0;0.006748776784207863;5.0;0.025926886180969663;1.0;0.004810467577448528;0.0;0.0;8.0;0.02000900405182332
11;transformative;1.0;0.004829751267809708;2.0;0.009149967975112087;1.0;0.004664179104477612;1.0;0.008876264867743653;0.0;0.0;1.0;0.003881384878124515;0.0;0.0;2.0;0.008330903486483108;3.0;0.01421262080727686;1.0;0.0028977108084613156;3.0;0.011225444340505144;0.0;0.0;1.0;0.0027898672023211695;4.0;0.010215026303692733;1.0;0.0023177119547582625;1.0;0.0020876390889543015;1.0;0.0025516713447307987;0.0;0.0;2.0;0.0067902492021457185;0.0;0.0;1.0;0.00408797318289592;0.0;0.0;1.0;0.005185377236193933;3.0;0.014431402732345585;1.0;0.005698330389195966;0.0;0.0
12;empower;1.0;0.004829751267809708;3.0;0.01372495196266813;0.0;0.0;2.0;0.017752529735487306;1.0;0.004485310607759587;0.0;0.0;4.0;0.0136986301369863;1.0;0.004165451743241554;1.0;0.004737540269092287;3.0;0.008693132425383946;4.0;0.014967259120673527;1.0;0.003012229652388698;3.0;0.00836960160696351;1.0;0.002553756575923183;1.0;0.0023177119547582625;3.0;0.006262917266862904;0.0;0.0;0.0;0.0;7.0;0.023765872207510013;2.0;0.008126447523465119;4.0;0.01635189273158368;1.0;0.0033743883921039317;0.0;0.0;4.0;0.01924187030979411;1.0;0.005698330389195966;2.0;0.00500225101295583
13;momentum;1.0;0.004829751267809708;0.0;0.0;1.0;0.004664179104477612;1.0;0.008876264867743653;0.0;0.0;3.0;0.011644154634373545;3.0;0.010273972602739727;1.0;0.004165451743241554;6.0;0.02842524161455372;7.0;0.02028397565922921;7.0;0.02619270346117867;7.0;0.021085607566720888;7.0;0.019529070416248184;12.0;0.030645078911078198;3.0;0.006953135864274787;1.0;0.0020876390889543015;1.0;0.0025516713447307987;0.0;0.0;2.0;0.0067902492021457185;2.0;0.008126447523465119;1.0;0.00408797318289592;0.0;0.0;1.0;0.005185377236193933;1.0;0.004810467577448528;1.0;0.005698330389195966;1.0;0.002501125506477915
14;solidarityforever;1.0;0.004829751267809708;1.0;0.004574983987556043;1.0;0.004664179104477612;4.0;0.03550505947097461;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.004165451743241554;1.0;0.004737540269092287;2.0;0.005795421616922631;1.0;0.0037418147801683817;0.0;0.0;1.0;0.0027898672023211695;0.0;0.0;2.0;0.004635423909516525;1.0;0.0020876390889543015;1.0;0.0025516713447307987;0.0;0.0;5.0;0.016975623005364295;0.0;0.0;2.0;0.00817594636579184;8.0;0.026995107136831453;1.0;0.005185377236193933;0.0;0.0;1.0;0.005698330389195966;2.0;0.00500225101295583
15;strengthen;0.0;0.0;3.0;0.01372495196266813;1.0;0.004664179104477612;2.0;0.017752529735487306;0.0;0.0;2.0;0.00776276975624903;1.0;0.003424657534246575;4.0;0.016661806972966216;0.0;0.0;4.0;0.011590843233845263;2.0;0.007483629560336763;1.0;0.003012229652388698;1.0;0.0027898672023211695;0.0;0.0;5.0;0.011588559773791312;1.0;0.0020876390889543015;1.0;0.0025516713447307987;4.0;0.0135473819684346;0.0;0.0;0.0;0.0;2.0;0.00817594636579184;0.0;0.0;0.0;0.0;2.0;0.009620935154897056;1.0;0.005698330389195966;2.0;0.00500225101295583
16;politicalrevolution;0.0;0.0;1.0;0.004574983987556043;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.008693132425383946;3.0;0.011225444340505144;3.0;0.009036688957166094;4.0;0.011159468809284678;2.0;0.005107513151846366;2.0;0.004635423909516525;1.0;0.0020876390889543015;0.0;0.0;0.0;0.0;3.0;0.010185373803218578;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
17;rehabilitate;0.0;0.0;0.0;0.0;1.0;0.004664179104477612;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.004165451743241554;2.0;0.009475080538184574;0.0;0.0;1.0;0.0037418147801683817;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.006748776784207863;1.0;0.005185377236193933;0.0;0.0;0.0;0.0;0.0;0.0
18;newyearsrevolution;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.03550505947097461;46.0;0.20632428795694102;2.0;0.00776276975624903;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
19;righteous;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.004485310607759587;0.0;0.0;0.0;0.0;1.0;0.004165451743241554;1.0;0.004737540269092287;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.007655014034192396;0.0;0.0;2.0;0.0067902492021457185;0.0;0.0;1.0;0.00408797318289592;1.0;0.0033743883921039317;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.002501125506477915
20;deescalation;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0;0.03881384878124514;0.0;0.0;1.0;0.004165451743241554;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
21;empowerment;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.003881384878124515;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0028977108084613156;0.0;0.0;1.0;0.003012229652388698;0.0;0.0;0.0;0.0;1.0;0.0023177119547582625;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.004063223761732559;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
22;opportune;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.003881384878124515;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.003012229652388698;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
23;oportunidad;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.004165451743241554;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
24;changemaker;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.004165451743241554;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25;feasible;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0020876390889543015;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.005185377236193933;1.0;0.004810467577448528;0.0;0.0;1.0;0.002501125506477915
Total;winpowerhopejusticechangeprovideimaginesurvivepossiblesafetyhold_accountabletransformativeempowermomentumsolidarityforeverstrengthenpoliticalrevolutionrehabilitatenewyearsrevolutionrighteousdeescalationempowermentopportuneoportunidadchangemakerfeasible;199.0;0.9611205022941319;256.0;1.1711959008143469;262.0;1.2220149253731347;161.0;1.4290786437067282;290.0;1.3007400762502803;242.0;0.9392951405061326;274.0;0.9383561643835616;268.0;1.116341067188736;270.0;1.279135872654917;591.0;1.712547087800638;415.0;1.5528531337698788;402.0;1.2109163202602564;578.0;1.6125432429416355;552.0;1.4096736299095969;499.0;1.1565382654243725;500.0;1.0438195444771512;341.0;0.8701199285532024;289.0;0.9787983472193998;449.0;1.5244109458817137;249.0;1.011742716671407;306.0;1.2509197939661518;266.0;0.8975873122996455;187.0;0.9696655431682657;256.0;1.2314796998268231;131.0;0.7464812809846716;402.0;1.005452453604122
